Angle Raw,Bus Voltage (V),Shunt Voltage (mV),Current (mA),Angle Raw.1,Bus Voltage (V).1,Shunt Voltage (mV).1,Current (mA).1,Angle Raw.2,Bus Voltage (V).2,Shunt Voltage (mV).2,Current (mA).2,Angle Raw.3,Bus Voltage (V).3,Shunt Voltage (mV).3,Current (mA).3,Angle Raw.4,Bus Voltage (V).4,Shunt Voltage (mV).4,Current (mA).4,Angle Raw.5,Bus Voltage (V).5,Shunt Voltage (mV).5,Current (mA).5,Angle Raw.6,Bus Voltage (V).6,Shunt Voltage (mV).6,Current (mA).6,Angle Raw,Bus Voltage (V),Shunt Voltage (mV),Current (mA)
346.03,0.25,0.02,0.2,30.67,12.17,6.11,63.9,193.45,9.04,8.63,164.8,45.97,4.02,13.45,181.0,218.85,0.25,11.04,108.6,54.67,2.4,18.66,70.3,128.23,0.13,14.97,98.9,321.68,11.81,14.45,141.4
346.03,3.56,0.01,0.3,15.47,5.42,10.15,73.9,158.55,5.03,8.7,137.0,349.72,3.86,8.12,165.5,141.42,9.26,9.7,103.8,321.06,0.0,9.81,157.9,11.51,0.18,17.43,146.9,175.52,0.0,13.48,100.7
346.03,7.67,0.03,0.3,0.7,0.0,9.99,80.5,123.84,0.0,11.0,129.8,294.08,0.0,8.99,46.4,65.57,2.75,10.66,82.8,224.91,10.75,8.91,156.7,255.59,10.58,16.62,169.5,34.89,1.44,15.17,182.9
346.03,2.72,0.02,0.2,347.08,0.02,7.35,77.6,86.84,2.19,15.45,177.9,240.73,1.07,8.47,85.7,351.3,0.0,9.05,96.6,126.3,2.81,14.69,123.6,132.8,0.0,15.64,92.0,257.34,9.59,15.14,151.9
345.94,0.0,0.01,0.0,332.49,5.11,13.02,83.5,51.06,8.24,6.81,129.6,187.91,10.03,9.02,165.8,278.26,2.62,8.54,79.8,24.52,0.0,11.65,113.5,17.14,0.25,16.2,159.4,118.12,0.97,18.42,117.3
346.03,0.24,0.02,0.1,317.2,4.68,14.73,78.0,16.96,2.24,7.89,168.6,131.04,1.99,17.58,64.1,205.49,7.97,9.66,120.9,287.67,7.79,10.24,156.4,260.68,9.85,15.28,179.2,335.65,2.02,13.86,139.1
346.03,3.06,0.02,0.3,301.73,0.0,10.69,89.2,342.33,0.0,5.95,71.8,75.59,0.0,9.22,119.8,130.87,1.62,10.55,93.8,188.35,2.56,15.8,180.8,142.29,1.76,15.12,76.0,194.15,7.32,16.64,144.3
346.03,10.13,0.04,0.3,286.79,3.07,9.78,100.6,309.02,8.42,11.85,114.4,21.27,3.25,7.99,164.1,54.76,0.0,13.8,141.5,88.24,0.0,11.73,120.7,26.54,0.0,14.17,140.1,53.7,0.0,13.71,132.1
345.94,2.25,0.02,0.1,271.32,9.6,7.3,150.1,271.93,3.98,10.08,155.0,327.48,6.36,18.38,95.8,337.24,11.33,16.27,133.3,350.77,8.31,18.22,98.2,270.09,11.41,14.08,137.7,276.68,2.78,15.15,153.8
346.03,0.0,0.01,0.5,255.85,0.0,9.3,86.3,234.93,0.0,15.37,168.2,271.23,0.0,6.02,138.0,255.41,0.66,18.19,87.6,254.27,4.82,10.56,154.6,147.57,1.57,13.11,134.1,136.32,6.82,17.21,179.1
346.03,0.59,0.02,0.1,241.44,0.0,7.86,66.8,198.9,7.67,7.76,87.6,216.04,1.79,19.22,97.2,180.0,0.17,18.73,192.3,154.95,0.0,14.74,174.6,26.89,0.0,16.12,178.1,354.11,0.0,10.09,114.6
346.03,7.9,0.03,0.3,226.67,3.93,14.13,86.0,165.67,4.92,17.64,86.7,161.28,8.86,9.04,177.3,101.87,11.26,15.98,174.8,54.76,5.26,13.24,127.3,270.7,11.52,14.35,191.3,212.43,2.92,17.27,164.5
345.94,8.48,0.03,0.3,211.46,5.06,9.7,101.8,130.52,0.0,10.19,65.9,106.61,1.94,13.69,48.5,18.46,0.0,15.76,89.0,317.2,4.47,18.18,101.2,147.3,0.0,12.32,80.0,72.33,8.01,15.13,134.4
346.03,3.09,0.02,0.2,196.35,0.0,5.81,124.6,95.54,0.42,12.98,64.6,49.92,0.0,11.12,87.4,304.98,0.52,13.44,118.2,216.65,0.0,13.35,104.0,32.34,0.14,16.42,116.6,294.35,0.0,11.17,120.2
346.03,0.0,0.02,-0.2,181.67,2.53,9.0,151.6,61.26,10.92,7.08,74.4,355.61,9.23,5.98,138.2,225.97,10.54,10.17,98.9,117.77,9.9,17.89,142.8,275.8,10.46,15.6,195.5,153.72,2.49,14.13,142.2
346.03,1.1,0.02,0.1,166.73,10.06,7.04,112.4,26.63,4.18,9.52,125.2,299.71,4.76,16.6,86.8,148.01,1.94,9.92,65.2,16.79,4.07,12.28,135.9,152.4,0.0,12.69,99.9,11.51,7.63,17.71,149.5
346.03,7.09,0.01,0.3,151.26,0.0,5.02,99.9,352.79,0.0,11.94,139.1,244.51,0.0,7.76,127.2,74.97,0.0,6.92,96.5,279.32,0.0,9.52,185.3,37.0,0.43,12.83,113.0,235.46,0.0,8.95,144.5
346.03,6.95,0.03,0.3,136.93,0.11,9.09,84.9,315.44,3.97,6.02,87.9,188.96,2.86,17.12,106.4,3.87,0.37,11.6,115.4,184.04,5.94,15.64,104.6,280.55,10.44,15.47,119.8,101.43,2.82,16.48,150.6
346.03,2.48,0.02,0.1,122.17,6.39,15.22,102.0,281.78,6.77,13.54,107.8,132.28,6.22,6.43,142.8,290.92,10.14,12.14,114.6,84.73,5.52,16.01,180.0,157.59,0.0,12.94,98.0,317.9,7.17,14.21,179.6
346.03,0.0,0.02,0.3,106.35,3.86,16.41,87.4,244.6,0.0,5.27,142.5,76.73,0.0,10.26,75.2,208.39,0.0,12.46,106.7,346.9,0.0,9.85,152.8,42.71,0.43,14.69,117.1,176.92,0.0,10.07,123.1
346.03,1.5,0.01,0.1,90.88,0.0,4.82,135.5,209.36,1.98,5.33,83.4,21.97,0.22,16.29,116.3,131.04,2.82,15.7,191.9,249.7,3.08,17.37,101.3,285.64,9.77,14.88,128.4,35.51,3.58,14.84,185.6
