Angle,V_bus,V_shunt,current,time,Angle.1,V_bus.1,V_shunt.1,current.1,time.1,Angle.2,V_bus.2,V_shunt.2,current.2,time.2,Angle.3,V_bus.3,V_shunt.3,current.3,time.3,Angle.4,V_bus.4,V_shunt.4,current.4,time.4,Angle.5,V_bus.5,V_shunt.5,current.5,time.5,Angle.6,V_bus.6,V_shunt.6,current.6,time.6,Angle.7,V_bus.7,V_shunt.7,current.7,time.7,Angle.8,V_bus.8,V_shunt.8,current.8,time.8,Angle.9,V_bus.9,V_shunt.9,current.9,time.9,Angle.10,V_bus.10,V_shunt.10,current.10,time.10,Angle.11,V_bus.11,V_shunt.11,current.11,time.11,Angle.12,V_bus.12,V_shunt.12,current.12,time.12,Angle,V_bus,V_shunt,current,time
349.45,9.91,0.01,-0.3,1.1936602592468262,359.91,0.0,-13.17,-190.4,1.3106977939605713,359.91,1.2,-37.88,-323.9,1.50697660446167,0.0,7.36,-55.78,-558.2,1.3789680004119873,359.91,0.0,-72.74,-441.7,1.4916017055511477,359.91,1.02,-91.44,-596.5,1.499126672744751,10.11,1.46,-110.78,-1107.8,1.4672911167144775,0.0,6.99,-129.79,-1298.0,1.4740376472473145,0.0,0.73,-141.88,-1419.8,1.4526140689849854,359.91,1.12,-155.35,-1553.6,1.550475835800171,0.0,1.7,-166.89,-1669.4,1.5472064018249512,0.0,0.0,-143.79,-1387.4,1.5423743724822998,0.0,5.11,-192.6,-1925.5,1.5362741947174072,359.91,0.04,-181.77,-1953.2,1.4080390930175781
359.91,2.38,0.0,-0.4,1.2255327701568604,359.91,9.89,-19.32,-193.4,1.329615592956543,0.0,0.5,-37.77,-378.2,1.522636651992798,0.0,2.21,-55.81,-557.6,1.402249813079834,359.91,2.81,-72.61,-726.3,1.5264627933502195,359.91,4.07,-91.45,-914.7,1.530503273010254,0.0,3.68,-110.59,-1106.4,1.4976329803466797,359.91,0.0,-93.51,-957.2,1.5052683353424072,0.0,2.54,-142.05,-1419.9,1.4838902950286863,359.91,0.82,-155.4,-1553.8,1.5943121910095217,0.0,1.9,-166.96,-1669.8,1.5785250663757324,0.0,9.71,-172.83,-1728.3,1.5599665641784668,0.0,0.0,-157.67,-1638.2,1.567530870437622,359.91,2.35,-197.25,-1972.4,1.443688154220581
359.91,0.0,-0.03,-0.4,1.2504653930664062,0.0,0.84,-19.32,-112.9,1.3643388748168943,359.91,3.57,-37.88,-378.6,1.5570414066314695,0.0,0.0,-43.4,-555.0,1.432170867919922,359.91,1.37,-72.55,-725.9,1.554325819015503,0.0,3.43,-91.39,-914.1,1.5461442470550537,0.0,2.5,-110.54,-1104.8,1.516329050064087,359.91,10.69,-129.65,-1296.3,1.5366599559783936,359.91,0.64,-141.55,-1420.6,1.5151240825653076,359.91,7.91,-155.3,-1552.6,1.6161181926727295,359.91,5.26,-166.92,-1669.8,1.6099238395690918,10.55,0.0,-168.34,-1385.5,1.5960054397583008,0.0,7.66,-192.51,-1924.8,1.5831499099731443,0.0,0.18,-193.4,-1965.0,1.4761099815368652
0.0,0.6,-0.02,-0.7,1.2753582000732422,0.0,0.6,-19.35,-193.8,1.3776333332061768,359.91,0.0,-35.85,-376.0,1.5854356288909912,0.0,11.74,-55.76,-557.5,1.4611492156982422,359.91,1.58,-72.59,-725.9,1.5855631828308103,0.0,0.0,-64.28,-671.6,1.587693452835083,0.0,0.16,-109.07,-1103.5,1.5475854873657229,359.91,0.0,-96.12,-1057.0,1.5680110454559326,0.0,2.94,-142.06,-1420.7,1.54677152633667,0.0,0.99,-155.24,-1353.4,1.647366285324097,359.91,0.89,-166.99,-1303.0,1.6411442756652832,10.11,8.76,-172.71,-1726.6,1.6228957176208496,0.0,0.0,-153.5,-1556.7,1.6147630214691162,0.0,5.01,-197.25,-1972.1,1.5069401264190674
0.0,7.52,0.02,-0.1,1.2941858768463137,0.0,7.5,-19.36,-193.7,1.4089841842651367,359.91,6.56,-37.86,-378.2,1.6166560649871826,0.0,1.26,-55.77,-558.1,1.4820377826690674,359.91,2.56,-72.61,-726.1,1.616751194000244,359.91,11.28,-91.56,-915.9,1.6044127941131592,0.0,4.1,-110.74,-1106.6,1.5831763744354248,359.91,8.37,-129.71,-1296.7,1.6061086654663086,0.0,0.03,-135.63,-1419.5,1.56251859664917,0.0,2.0,-155.43,-1554.4,1.678730010986328,359.91,10.93,-167.02,-1670.7,1.6757688522338867,0.0,0.88,-172.55,-1384.1,1.6542870998382568,0.0,8.69,-192.45,-1924.0,1.647596836090088,359.91,0.1,-187.06,-1969.9,1.538182258605957
0.0,8.78,-0.01,-0.1,1.3119382858276367,0.0,0.0,-11.43,-124.2,1.4402437210083008,359.91,0.0,-25.62,-324.0,1.647803783416748,0.0,0.62,-55.61,-558.4,1.5143284797668457,0.0,0.0,-55.88,-692.3,1.6325032711029053,359.91,0.0,-61.85,-619.3,1.6357510089874268,0.0,0.0,-90.54,-1061.2,1.598686456680298,348.75,0.0,-100.33,-1279.4,1.634819507598877,0.0,4.72,-142.18,-1421.8,1.5936884880065918,0.0,2.06,-155.47,-1554.7,1.7100789546966553,0.0,0.0,-147.51,-1310.2,1.7031538486480713,0.0,2.76,-172.61,-1727.1,1.6856589317321775,0.0,0.69,-192.44,-1810.1,1.6783747673034668,359.91,2.2,-197.15,-1970.9,1.569326639175415
0.0,2.48,-0.03,-0.3,1.345008134841919,0.0,1.25,-19.31,-193.5,1.4716269969940186,359.91,10.41,-37.84,-378.3,1.6797852516174316,0.0,8.68,-55.86,-558.6,1.542832374572754,0.0,8.92,-72.36,-723.4,1.663848876953125,0.0,5.2,-91.94,-919.2,1.667017698287964,359.91,6.96,-110.77,-1107.4,1.6300454139709473,359.91,3.58,-129.56,-1296.2,1.6612951755523682,0.0,0.0,-114.09,-1296.1,1.6318020820617676,0.0,1.0,-155.29,-1554.4,1.7414417266845703,0.0,9.41,-167.42,-1674.4,1.7345094680786133,0.0,1.6,-172.65,-1726.0,1.7169256210327148,0.0,4.48,-192.39,-1924.1,1.7102243900299072,359.91,4.28,-197.04,-1971.7,1.6012048721313477
0.0,0.0,-0.05,-0.4,1.369441032409668,0.0,5.34,-19.32,-193.7,1.4872775077819824,0.0,0.0,-37.84,-222.3,1.711034059524536,0.0,0.0,-55.86,-361.5,1.5648200511932373,0.0,1.87,-72.38,-724.1,1.6950914859771729,0.0,3.15,-91.74,-917.7,1.6982650756835938,359.91,0.0,-100.09,-1108.2,1.6614367961883545,0.0,0.0,-109.65,-1255.1,1.6925537586212158,359.91,3.78,-142.36,-1423.1,1.659032106399536,0.0,3.12,-155.4,-1553.8,1.772714138031006,0.0,0.8,-167.43,-1674.1,1.7657513618469238,359.91,6.59,-172.22,-1722.3,1.7486572265625,349.89,0.91,-192.44,-1531.9,1.7323017120361328,10.11,1.15,-197.08,-1971.2,1.6324231624603271
0.0,0.0,-0.05,0.0,1.3917839527130127,0.0,0.0,-11.44,-156.5,1.518623113632202,0.0,1.24,-37.84,-378.8,1.740222454071045,0.0,2.99,-55.65,-558.3,1.596149206161499,0.0,0.0,-68.98,-716.6,1.726884126663208,0.0,0.0,-62.8,-735.2,1.714015007019043,349.89,2.82,-110.88,-1108.6,1.6927871704101562,359.91,3.07,-129.5,-1295.4,1.724540948867798,0.0,0.0,-122.62,-1374.3,1.689462184906006,0.0,0.0,-146.73,-1545.1,1.7883169651031494,0.0,4.09,-167.4,-1674.9,1.781489372253418,359.91,0.72,-172.36,-1383.7,1.7800111770629885,359.91,9.1,-192.4,-1924.3,1.776968479156494,0.0,0.45,-195.57,-1970.8,1.666471004486084
359.91,3.2,-0.03,-0.1,1.407533884048462,0.0,3.6,-19.35,-193.6,1.549882888793945,0.0,5.59,-37.85,-378.5,1.7605855464935305,0.0,6.31,-55.76,-557.8,1.6123788356781006,0.0,10.18,-72.1,-720.9,1.7517812252044678,0.0,4.42,-91.59,-915.6,1.745384931564331,359.91,3.58,-110.81,-1108.2,1.7240557670593262,0.0,0.0,-118.64,-1276.9,1.7557992935180664,359.91,4.38,-142.49,-1424.7,1.720773220062256,0.0,5.17,-155.46,-1554.7,1.819476842880249,0.0,2.26,-167.31,-1673.3,1.8128395080566408,359.91,11.01,-172.33,-1723.7,1.8112361431121824,359.91,0.0,-153.89,-1575.9,1.810185670852661,0.0,2.74,-197.03,-1970.6,1.6958847045898438
