Angle,V_bus,V_shunt,current,time,Angle.1,V_bus.1,V_shunt.1,current.1,time.1,Angle.2,V_bus.2,V_shunt.2,current.2,time.2,Angle.3,V_bus.3,V_shunt.3,current.3,time.3,Angle.4,V_bus.4,V_shunt.4,current.4,time.4,Angle.5,V_bus.5,V_shunt.5,current.5,time.5,Angle.6,V_bus.6,V_shunt.6,current.6,time.6,Angle.7,V_bus.7,V_shunt.7,current.7,time.7,Angle.8,V_bus.8,V_shunt.8,current.8,time.8,Angle.9,V_bus.9,V_shunt.9,current.9,time.9,Angle.10,V_bus.10,V_shunt.10,current.10,time.10,Angle.11,V_bus.11,V_shunt.11,current.11,time.11,Angle,V_bus,V_shunt,current,time
359.91,9.49,0.03,0.3,1.3237063884735107,0.0,2.05,23.81,238.2,1.3715417385101318,0.0,2.08,40.0,253.6,1.2911274433135986,359.91,8.76,40.0,400.0,1.4820737838745115,0.0,1.87,40.0,400.0,1.4818742275238037,0.0,0.0,40.0,400.0,1.255605936050415,0.0,0.0,40.0,400.0,1.3141767978668213,359.91,1.89,40.0,400.0,1.2735090255737305,0.0,0.44,40.0,400.0,1.4457595348358154,359.91,9.07,40.0,400.0,1.4829516410827637,359.91,0.73,40.0,400.0,1.49428129196167,359.91,1.72,40.0,400.0,1.4558398723602295,359.91,10.29,40.0,400.0,1.328467845916748
359.91,3.65,0.02,0.2,1.3549981117248535,0.0,0.0,14.88,202.0,1.396021842956543,0.0,0.0,37.92,400.0,1.3054313659667969,359.91,0.0,40.0,313.0,1.5132789611816406,0.0,0.0,40.0,400.0,1.5078797340393066,0.0,4.76,40.0,400.0,1.2883970737457275,0.0,3.43,40.0,400.0,1.346726655960083,359.91,0.07,40.0,400.0,1.2918474674224854,0.0,9.02,40.0,400.0,1.4705941677093506,359.91,3.63,40.0,400.0,1.4985802173614502,359.91,7.78,40.0,400.0,1.5185987949371338,359.91,0.0,40.0,400.0,1.4969699382781982,359.91,1.6,40.0,400.0,1.3631365299224854
359.91,0.0,0.01,0.1,1.3740766048431396,0.0,1.38,23.83,238.6,1.4206504821777344,0.0,3.04,40.0,400.0,1.3406009674072266,359.91,3.42,40.0,400.0,1.5451526641845703,0.0,3.48,40.0,400.0,1.5331366062164309,0.0,8.56,40.0,400.0,1.3061456680297852,0.0,9.68,40.0,400.0,1.3655271530151367,0.0,11.16,40.0,400.0,1.3271636962890625,0.0,2.87,40.0,400.0,1.4938409328460691,359.91,0.0,40.0,400.0,1.5298130512237549,359.91,0.0,40.0,400.0,1.5415782928466797,359.91,7.63,40.0,400.0,1.5196809768676758,359.91,0.0,40.0,400.0,1.3915519714355469
359.91,0.0,0.02,0.1,1.4068355560302734,0.0,7.93,23.85,238.2,1.4438178539276123,0.0,8.66,40.0,400.0,1.365955829620361,359.91,5.97,40.0,400.0,1.5609006881713867,0.0,7.67,40.0,400.0,1.560551643371582,0.0,2.51,40.0,400.0,1.3277440071105957,0.0,2.3,40.0,400.0,1.397660255432129,0.0,3.19,40.0,400.0,1.352281093597412,0.0,0.0,40.0,400.0,1.509575128555298,359.91,11.08,40.0,400.0,1.5615763664245603,359.91,3.16,40.0,400.0,1.5729546546936035,359.91,0.82,40.0,400.0,1.5359036922454834,359.91,8.72,40.0,400.0,1.4068019390106201
359.91,3.03,0.02,0.2,1.420227289199829,0.0,2.35,23.79,238.0,1.459437131881714,0.0,2.4,40.0,400.0,1.3877668380737305,359.91,0.0,32.24,335.7,1.5920343399047852,0.0,2.07,40.0,400.0,1.5855703353881836,0.0,0.0,40.0,400.0,1.3624629974365234,0.0,0.0,40.0,400.0,1.4126529693603516,0.0,0.0,40.0,400.0,1.3750793933868408,0.0,1.36,40.0,400.0,1.540788173675537,359.91,1.44,40.0,400.0,1.5929384231567385,359.91,5.64,40.0,400.0,1.58860445022583,359.91,1.06,40.0,400.0,1.5672519207000732,359.91,1.36,40.0,400.0,1.4381778240203857
359.91,11.15,0.03,0.3,1.4514765739440918,0.0,0.0,14.0,232.3,1.4914100170135498,0.0,0.0,34.06,400.0,1.419095516204834,359.91,3.5,40.0,400.0,1.6233792304992676,0.0,0.0,40.0,400.0,1.5982508659362793,0.0,4.49,40.0,400.0,1.3719842433929443,0.0,3.21,40.0,400.0,1.4434292316436768,0.0,0.45,40.0,400.0,1.401437520980835,0.0,9.38,40.0,400.0,1.5721001625061035,359.91,0.0,40.0,400.0,1.608553171157837,359.91,0.0,40.0,400.0,1.619985580444336,359.91,6.99,40.0,400.0,1.5985078811645508,359.91,0.0,40.0,400.0,1.469426155090332
359.91,3.72,0.02,0.2,1.467099905014038,0.0,2.73,23.72,237.2,1.5227792263031006,0.0,3.82,40.0,400.0,1.4353337287902832,359.91,5.79,40.0,400.0,1.6552238464355469,0.0,3.17,40.0,400.0,1.635530948638916,0.0,9.19,40.0,400.0,1.4033527374267578,0.0,10.08,40.0,400.0,1.4747085571289062,0.0,9.94,40.0,400.0,1.422525405883789,0.0,3.04,40.0,400.0,1.5917224884033203,359.91,8.94,40.0,400.0,1.6398348808288574,359.91,2.96,40.0,400.0,1.6512184143066406,359.91,0.0,40.0,400.0,1.6303505897521973,359.91,6.66,40.0,400.0,1.496018409729004
359.91,0.0,0.01,0.1,1.4989447593688965,0.0,8.89,23.66,236.5,1.5384070873260498,0.0,8.86,40.0,400.0,1.4666881561279297,359.91,0.0,33.97,400.0,1.6708686351776123,0.0,8.32,40.0,400.0,1.6596531867980957,0.0,2.88,40.0,400.0,1.4347083568572998,0.0,1.94,40.0,400.0,1.4903361797332764,0.0,3.42,40.0,400.0,1.4382517337799072,0.0,0.0,40.0,400.0,1.6208434104919434,359.91,1.16,40.0,400.0,1.6716933250427246,359.91,3.51,40.0,400.0,1.6825571060180664,359.91,4.04,40.0,400.0,1.6460888385772705,359.91,0.0,40.0,400.0,1.5269205570220947
359.91,0.0,0.02,0.2,1.515169620513916,0.0,2.34,23.24,233.9,1.5696403980255127,0.0,1.9,40.0,400.0,1.4823153018951416,359.91,6.28,40.0,400.0,1.7052652835845947,0.0,1.55,40.0,400.0,1.6773109436035156,0.0,0.0,40.0,400.0,1.4503307342529297,0.0,0.0,40.0,400.0,1.5221962928771973,0.0,0.0,40.0,400.0,1.4695048332214355,0.0,0.63,40.0,400.0,1.6369216442108154,359.91,0.94,40.0,400.0,1.7030627727508545,359.91,0.0,40.0,400.0,1.6982929706573486,359.91,4.85,40.0,400.0,1.6772277355194092,359.91,2.65,40.0,400.0,1.5498571395874023
359.91,2.9,0.02,0.2,1.5463018417358398,0.0,0.0,12.61,215.2,1.587413311004639,0.0,0.0,31.08,400.0,1.51680588722229,359.91,3.38,40.0,400.0,1.738293170928955,0.0,0.0,40.0,400.0,1.7086713314056396,0.0,2.29,40.0,400.0,1.4861814975738523,0.0,3.24,40.0,400.0,1.537707805633545,0.0,0.22,40.0,400.0,1.4851267337799072,0.0,9.7,40.0,400.0,1.668308973312378,359.91,6.83,40.0,400.0,1.718681573867798,359.91,8.4,40.0,400.0,1.7354493141174316,359.91,0.0,40.0,400.0,1.7085745334625244,359.91,5.99,40.0,400.0,1.5654823780059814
